                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.98366,                0.74739,                 1.0288,                  0.954,                      1,                  0.995,                0.76558,                0.72371,                 0.7416,                0.95781,               0.006535,               0.006535,               0.006535
                     37,                0.97031,                0.79682,                  1.082,                0.85512,                0.93385,                  0.995,                0.80322,                0.80902,                0.51172,                0.94195,               0.006436,               0.006436,               0.006436
                     38,                0.94005,                0.83749,                 1.0607,                0.93003,                0.98773,                  0.995,                0.75967,                0.92002,                0.51411,                0.96549,               0.006337,               0.006337,               0.006337
                     39,                0.79527,                0.61718,                 1.0063,                0.89971,                      1,                  0.995,                0.76667,                0.84752,                0.47554,                 0.9244,               0.006238,               0.006238,               0.006238
                     40,                0.79766,                0.63983,                0.97453,                0.96112,                      1,                  0.995,                0.80653,                 0.8426,                0.57793,                0.96131,               0.006139,               0.006139,               0.006139
                     41,                0.90343,                0.76861,                 1.0705,                0.83669,                      1,                  0.995,                 0.8279,                0.76201,                0.48383,                0.90117,                0.00604,                0.00604,                0.00604
                     42,                0.73916,                0.62526,                0.96418,                0.96896,                      1,                  0.995,                0.78129,                0.94322,                0.44596,                0.90705,               0.005941,               0.005941,               0.005941
                     43,                0.82511,                0.58374,                0.97577,                0.94965,                      1,                  0.995,                0.78164,                0.83689,                0.46325,                0.88015,               0.005842,               0.005842,               0.005842
                     44,                0.76963,                0.56786,                0.98377,                0.94607,                      1,                  0.995,                0.79829,                0.82095,                 0.4386,                0.89498,               0.005743,               0.005743,               0.005743
                     45,                0.76966,                0.59212,                0.99598,                0.95083,                      1,                  0.995,                 0.7881,                0.83527,                0.47482,                0.87663,               0.005644,               0.005644,               0.005644
                     46,                0.77764,                0.58142,                0.94516,                0.90908,                      1,                  0.995,                0.76314,                0.98241,                0.60059,                0.96447,               0.005545,               0.005545,               0.005545
                     47,                0.89774,                0.68407,                 1.0402,                 0.9231,                0.99024,                  0.995,                0.78715,                0.87502,                0.47893,                0.94181,               0.005446,               0.005446,               0.005446
                     48,                0.73991,                0.57094,                0.94301,                0.93406,                      1,                  0.995,                0.81107,                0.71872,                0.48658,                0.91234,               0.005347,               0.005347,               0.005347
                     49,                0.70727,                0.52797,                0.98651,                0.95899,                      1,                  0.995,                0.84424,                 0.7378,                0.49315,                0.93403,               0.005248,               0.005248,               0.005248
                     50,                0.82475,                0.61914,                 1.0215,                0.94855,                  0.875,                   0.97,                0.76588,                0.74267,                0.55096,                0.97986,               0.005149,               0.005149,               0.005149
                     51,                0.80058,                0.56281,                 1.0221,                0.96907,                  0.875,                 0.9325,                0.77284,                0.75136,                0.59062,                 1.0133,                0.00505,                0.00505,                0.00505
                     52,                0.75067,                0.56312,                0.98572,                0.96113,                  0.875,                0.95333,                0.76815,                0.72091,                0.59453,                 0.9481,               0.004951,               0.004951,               0.004951
                     53,                0.80965,                 0.5864,                0.98952,                0.97073,                0.99616,                  0.995,                0.86377,                0.74178,                0.45011,                0.93857,               0.004852,               0.004852,               0.004852
                     54,                0.75794,                0.63067,                0.99213,                0.95581,                      1,                  0.995,                0.89688,                0.71682,                0.46326,                0.92223,               0.004753,               0.004753,               0.004753
                     55,                0.74491,                0.53017,                0.99008,                0.96715,                      1,                  0.995,                0.88143,                0.59938,                0.40523,                0.89051,               0.004654,               0.004654,               0.004654
