                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1965,                 1.6983,                 1.4109,                0.26291,                    0.5,                0.34434,                0.18647,                 1.7408,                 2.7509,                 2.4631,               0.006634,               0.006634,               0.006634
                     36,                  1.118,                 1.7154,                 1.3836,                0.86492,                0.33333,                0.44035,                0.20361,                 1.7856,                 2.8134,                 2.5695,               0.006535,               0.006535,               0.006535
                     37,                 1.1471,                 1.6291,                 1.3496,                0.33851,                    0.5,                0.43571,                0.21567,                 1.9012,                 2.4112,                 2.7692,               0.006436,               0.006436,               0.006436
                     38,                 1.1364,                 1.5949,                 1.4073,                0.46379,                    0.5,                0.34389,                0.15999,                 1.7614,                 2.5131,                 2.4767,               0.006337,               0.006337,               0.006337
                     39,                 1.2122,                 1.6467,                 1.4602,                0.91036,                0.33333,                0.48467,                0.21635,                 1.8497,                 2.3468,                 2.3522,               0.006238,               0.006238,               0.006238
                     40,                 1.1545,                 1.5925,                 1.4212,                0.23578,                    0.5,                0.32906,                0.19497,                 1.8593,                 2.3751,                 2.6849,               0.006139,               0.006139,               0.006139
                     41,                 1.1871,                 1.6328,                 1.3941,                0.35072,                    0.5,                0.39884,                0.19149,                 2.0425,                 2.3013,                 2.9768,                0.00604,                0.00604,                0.00604
                     42,                 1.1414,                 1.5468,                 1.3961,                0.29336,                0.66667,                0.41169,                0.19014,                 1.8889,                 2.3563,                 2.9083,               0.005941,               0.005941,               0.005941
                     43,                 1.2056,                 1.5793,                 1.4325,                0.32091,                    0.5,                0.38128,                 0.1882,                 2.0667,                 2.5612,                 2.9007,               0.005842,               0.005842,               0.005842
                     44,                 1.1746,                 1.5546,                 1.4233,                0.95495,                0.33333,                0.55485,                0.24732,                  2.034,                 2.6806,                 2.6366,               0.005743,               0.005743,               0.005743
                     45,                 1.1771,                 1.5139,                 1.4028,                0.97349,                    0.5,                0.61491,                0.24366,                 1.7288,                  2.547,                 2.5053,               0.005644,               0.005644,               0.005644
                     46,                 1.1877,                 1.4824,                 1.3596,                0.92419,                0.33333,                 0.5542,                0.24435,                 1.4927,                 2.5203,                 2.3523,               0.005545,               0.005545,               0.005545
                     47,                 1.2698,                 1.5462,                 1.4611,                0.95524,                0.33333,                0.51575,                 0.2457,                 1.5625,                 2.6013,                 2.3577,               0.005446,               0.005446,               0.005446
                     48,                 1.1658,                 1.5033,                 1.4111,                0.95652,                0.33333,                0.49318,                0.18299,                 1.9501,                 2.5677,                 2.5348,               0.005347,               0.005347,               0.005347
                     49,                 1.0929,                 1.5232,                 1.3582,                0.92557,                0.33333,                0.43922,                 0.1222,                 1.7294,                 2.8324,                 2.3052,               0.005248,               0.005248,               0.005248
                     50,                 1.2776,                 1.5401,                 1.4446,                0.18824,                    0.5,                0.33233,                0.15869,                 1.5941,                  2.522,                 2.3033,               0.005149,               0.005149,               0.005149
                     51,                 1.1333,                 1.4766,                 1.3718,                0.70466,                    0.5,                0.53601,                0.29748,                 1.5242,                 2.4325,                 2.2123,                0.00505,                0.00505,                0.00505
                     52,                 1.0858,                 1.4371,                 1.3186,                0.98112,                    0.5,                0.60715,                0.37576,                 1.5613,                 2.1061,                 2.2602,               0.004951,               0.004951,               0.004951
                     53,                 1.0471,                 1.4112,                 1.3254,                0.96918,                0.33333,                0.55387,                0.24093,                 1.6286,                 2.1333,                 2.3079,               0.004852,               0.004852,               0.004852
                     54,                 1.1623,                 1.4603,                 1.4212,                0.66643,                 0.3331,                0.43558,                0.17843,                 1.8683,                 2.5071,                 2.5063,               0.004753,               0.004753,               0.004753
                     55,                 1.1886,                 1.5367,                 1.4029,                0.62969,                0.33333,                0.45804,                0.16485,                 2.1058,                 2.6494,                 2.6303,               0.004654,               0.004654,               0.004654
                     56,                 1.1331,                 1.4888,                 1.3756,                0.59927,                0.33333,                0.43988,                0.16504,                 2.2328,                 2.4522,                 2.8448,               0.004555,               0.004555,               0.004555
                     57,                 1.0542,                 1.4079,                 1.3193,                0.65988,                0.33333,                0.45356,                0.14919,                 2.2443,                 2.4415,                 2.8523,               0.004456,               0.004456,               0.004456
                     58,                 1.0574,                 1.3986,                 1.3119,                0.39897,                0.33333,                0.41628,                0.14199,                 2.3809,                 2.4571,                 3.1777,               0.004357,               0.004357,               0.004357
                     59,                 1.1132,                 1.4093,                 1.3452,                0.62995,                0.33333,                0.42706,                0.10977,                 2.5746,                 2.4663,                 3.5751,               0.004258,               0.004258,               0.004258
                     60,                 1.1489,                 1.4238,                 1.4293,                0.39837,                    0.5,                0.43935,                0.16997,                 1.9988,                 2.3168,                 3.0144,               0.004159,               0.004159,               0.004159
                     61,                 1.1468,                 1.4752,                  1.375,                0.39654,                    0.5,                0.43245,                0.17759,                 2.0478,                   2.14,                 3.0951,                0.00406,                0.00406,                0.00406
                     62,                 1.0619,                 1.3338,                 1.3338,                 0.4989,                    0.5,                0.47294,                0.18273,                  2.071,                 2.2408,                 3.0562,               0.003961,               0.003961,               0.003961
                     63,                 1.0611,                 1.4935,                 1.3665,                0.64363,                0.66667,                0.63153,                0.18881,                 2.0071,                 2.2638,                 3.0522,               0.003862,               0.003862,               0.003862
                     64,                 1.0582,                 1.3662,                 1.3749,                0.64137,                0.66667,                0.61206,                0.17721,                 1.9969,                 2.3226,                 3.0846,               0.003763,               0.003763,               0.003763
                     65,                 1.0722,                 1.4775,                 1.3525,                0.73506,                0.47011,                0.51193,                 0.1888,                 1.9388,                 2.4827,                 2.9048,               0.003664,               0.003664,               0.003664
                     66,                0.98967,                 1.3541,                  1.304,                0.96007,                0.33333,                0.47164,                0.14902,                 1.8401,                 2.3295,                  2.787,               0.003565,               0.003565,               0.003565
                     67,                  1.018,                  1.245,                 1.3268,                 0.9277,                0.33333,                0.46382,                 0.1651,                 1.8081,                 2.3599,                 2.7069,               0.003466,               0.003466,               0.003466
                     68,                0.99587,                 1.2714,                 1.3325,                0.57568,                0.33333,                0.39494,                0.15745,                 1.7866,                 2.4134,                 2.6261,               0.003367,               0.003367,               0.003367
                     69,                 1.0132,                 1.2453,                 1.3113,                0.62124,                    0.5,                  0.504,                0.18474,                  1.747,                 2.3228,                 2.6155,               0.003268,               0.003268,               0.003268
                     70,                0.99688,                 1.2055,                 1.2647,                0.40839,                    0.5,                0.45238,                0.20524,                 1.8032,                 2.1323,                 2.5861,               0.003169,               0.003169,               0.003169
                     71,                 1.0494,                  1.316,                 1.3076,                0.59088,                    0.5,                0.51157,                0.24544,                 1.7993,                 2.3041,                  2.474,                0.00307,                0.00307,                0.00307
                     72,                 1.0641,                 1.3659,                 1.3748,                0.48748,                    0.5,                0.51828,                0.20152,                 1.9682,                  2.468,                 2.5476,               0.002971,               0.002971,               0.002971
                     73,                 1.0049,                 1.2732,                   1.26,                0.69153,                    0.5,                0.56231,                0.21842,                 1.9708,                 2.3575,                 2.4795,               0.002872,               0.002872,               0.002872
                     74,                0.98293,                 1.2073,                 1.2608,                0.72165,                    0.5,                0.58571,                0.25061,                 1.9859,                 2.1445,                 2.4475,               0.002773,               0.002773,               0.002773
                     75,                0.95733,                 1.1872,                 1.2524,                 0.6712,                    0.5,                0.59929,                0.26841,                 2.0316,                 2.0904,                 2.4813,               0.002674,               0.002674,               0.002674
                     76,                 1.1068,                 1.3547,                 1.3908,                      1,                0.47065,                0.61545,                0.25806,                 2.0022,                 2.2707,                 2.6622,               0.002575,               0.002575,               0.002575
                     77,                0.95714,                 1.3098,                 1.2524,                      1,                 0.4954,                0.59076,                 0.2414,                 1.9787,                 2.3187,                 2.8007,               0.002476,               0.002476,               0.002476
                     78,                0.95203,                 1.1957,                 1.2997,                0.96757,                    0.5,                0.59404,                 0.2268,                 1.9488,                  2.201,                 2.7884,               0.002377,               0.002377,               0.002377
                     79,                0.92198,                 1.1332,                 1.2398,                0.96484,                    0.5,                0.60744,                0.23323,                 1.9241,                 2.2459,                 2.6143,               0.002278,               0.002278,               0.002278
                     80,                0.91588,                 1.1329,                  1.256,                0.97406,                    0.5,                0.60816,                0.23137,                 1.9771,                 2.1877,                 2.8026,               0.002179,               0.002179,               0.002179
